Model, Opt, #states, Time (ms), Channel Safety Error, Global Deadlock, Error, Comm param info,
getlantern-lantern:agent_forwardUnixSocket81.pml,0,29,5093,false,false,,,
getlantern-lantern:borda_NewCollector100.pml,0,6,5142,false,false,,NewCollector_opts_BatchSize = 0,,
getlantern-lantern:borda_NewCollector100.pml,0,7,4875,false,false,,NewCollector_opts_BatchSize = 1,,
getlantern-lantern:borda_NewCollector100.pml,0,7,5150,false,false,,NewCollector_opts_BatchSize = 3,,
getlantern-lantern:coff_freezeRSRC359.pml,0,15,5554,false,true,,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2912,false,true,,int dir2_DirEntries=-2; int dir1_Dirs=-2; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,11,2621,false,false,,int dir2_DirEntries=-2; int dir1_Dirs=-2; int coff_Dir_Dirs=0; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2757,false,true,,int dir2_DirEntries=-2; int dir1_Dirs=1; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2638,false,true,,int dir2_DirEntries=1; int dir1_Dirs=-2; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2639,false,true,,int dir2_DirEntries=3; int dir1_Dirs=-2; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,35,2626,false,false,,int dir2_DirEntries=0; int dir1_Dirs=-2; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2687,false,true,,int dir2_DirEntries=-2; int dir1_Dirs=-2; int coff_Dir_Dirs=3; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2661,false,true,,int dir2_DirEntries=-2; int dir1_Dirs=3; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,25,2780,false,false,,int dir2_DirEntries=-2; int dir1_Dirs=0; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2656,false,true,,int dir2_DirEntries=1; int dir1_Dirs=1; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2720,false,true,,int dir2_DirEntries=3; int dir1_Dirs=3; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2728,false,true,,int dir2_DirEntries=1; int dir1_Dirs=3; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2728,false,true,,int dir2_DirEntries=3; int dir1_Dirs=-2; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2651,false,true,,int dir2_DirEntries=1; int dir1_Dirs=-2; int coff_Dir_Dirs=3; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2610,false,true,,int dir2_DirEntries=3; int dir1_Dirs=-2; int coff_Dir_Dirs=3; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2703,false,true,,int dir2_DirEntries=-2; int dir1_Dirs=3; int coff_Dir_Dirs=3; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,2793,false,true,,int dir2_DirEntries=1; int dir1_Dirs=-2; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3225,false,true,,int dir2_DirEntries=-2; int dir1_Dirs=3; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3219,false,true,,int dir2_DirEntries=-2; int dir1_Dirs=1; int coff_Dir_Dirs=3; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3540,false,true,,int dir2_DirEntries=-2; int dir1_Dirs=1; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,4215,false,true,,int dir2_DirEntries=3; int dir1_Dirs=1; int coff_Dir_Dirs=-2; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,4651,false,true,,int dir2_DirEntries=3; int dir1_Dirs=1; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,4230,false,true,,int dir2_DirEntries=1; int dir1_Dirs=1; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3633,false,true,,int dir2_DirEntries=1; int dir1_Dirs=1; int coff_Dir_Dirs=3; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3246,false,true,,int dir2_DirEntries=3; int dir1_Dirs=3; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3550,false,true,,int dir2_DirEntries=1; int dir1_Dirs=3; int coff_Dir_Dirs=1; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3703,false,true,,int dir2_DirEntries=3; int dir1_Dirs=1; int coff_Dir_Dirs=3; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3300,false,true,,int dir2_DirEntries=1; int dir1_Dirs=3; int coff_Dir_Dirs=3; ,,
getlantern-lantern:coff_freezeRSRC359.pml,1,15,3424,false,true,,int dir2_DirEntries=3; int dir1_Dirs=3; int coff_Dir_Dirs=3; ,,
getlantern-lantern:config_newConfig129.pml,0,5,5118,false,false,,,
getlantern-lantern:config_pipeConfig91.pml,0,44,6271,false,false,,,
getlantern-lantern:connpool_Close92.pml,0,9,4531,false,true,,Close_p_Size = 1,,
getlantern-lantern:connpool_Close92.pml,0,9,4702,false,true,,Close_p_Size = 3,,
getlantern-lantern:connpool_Close92.pml,0,14,4797,false,false,,Close_p_Size = 0,,
getlantern-lantern:connpool_New68.pml,0,13,5247,false,false,,New_p_Size = 0,,
getlantern-lantern:connpool_New68.pml,0,15,8865,false,false,,New_p_Size = 1,,
getlantern-lantern:connpool_New68.pml,0,15,6013,false,false,,New_p_Size = 3,,
getlantern-lantern:ctxhttp_canceler11.pml,0,5,5496,false,false,,,
getlantern-lantern:dns_ActivateAndServe129.pml,0,4,4951,false,false,,,
getlantern-lantern:dns_Do33.pml,0,22,5101,false,false,,,
getlantern-lantern:dns_ListenAndServe98.pml,0,4,4547,false,false,,,
getlantern-lantern:dns_ListenAndServeTLS105.pml,0,8,4709,false,false,,,
getlantern-lantern:dns_Shutdown416.pml,0,18,5978,false,true,,,
getlantern-lantern:dns_parseKey171.pml,0,29,6229,false,false,,,
getlantern-lantern:fronted_Configure52.pml,0,20,6523,false,false,,Configure_size = 0,,
getlantern-lantern:fronted_Configure52.pml,0,22,5810,false,false,,Configure_size = 1,,
getlantern-lantern:fronted_Configure52.pml,0,22,5709,false,false,,Configure_size = 3,,
getlantern-lantern:gl_NewContext77.pml,0,16,5572,false,false,,,
getlantern-lantern:http2_Init260.pml,0,the model is not executable,,,,,
getlantern-lantern:http2_NewClientConn381.pml,0,12,5313,false,false,,,
getlantern-lantern:http2_ServeConn253.pml,0,24,8974,false,false,,,
getlantern-lantern:http2_addConnIfNeeded105.pml,0,5,5667,false,true,,,
getlantern-lantern:http2_getStartDialLocked70.pml,0,9,4877,false,false,,,
getlantern-lantern:http2_newStream1036.pml,0,13,5170,false,false,,,
getlantern-lantern:idletiming_Conn34.pml,0,12,5174,false,false,,,
getlantern-lantern:measured_newConn242.pml,0,5,9336,false,false,,,
getlantern-lantern:meeklite_newMeekConn340.pml,0,19,5767,false,false,,,
getlantern-lantern:netx_BidiCopy19.pml,0,94,5362,false,false,,,
getlantern-lantern:pool_NewConnPool79.pml,0,9,5447,false,false,,NewConnPool_poolSize = 0,,
getlantern-lantern:pool_NewConnPool79.pml,0,18,5625,false,false,,NewConnPool_poolSize = 1,,
getlantern-lantern:pool_NewConnPool79.pml,0,34,5772,false,false,,NewConnPool_poolSize = 3,,
