Project, Channel safety score, Global deadlock score, Link 
fireworq--fireworq:jqtest++subtestAsyncUpdate1605.pml,0,0,https://github.com/fireworq/fireworq/blob/64920523abd7128a2ae5a7bc4f0676fb92133322/test/jobqueue/jobqueue.go#L605
ginuerzh--gost:gost++tunnelServerUDP1457.pml,0,0,https://github.com/ginuerzh/gost/blob/1a56a878ac446d9cfc14a1c7fb11ef43d8dc61f4/socks.go#L1457
keybase--kbfs:libfs++Unlock183.pml,0,0,https://github.com/keybase/kbfs/blob/a4a00254ce4a3f4cf9d19ca56085d4964f1a7f64/libfs/file.go#L183
henrylee2cn--pholcus:gui++NewLogView22.pml,0,0,https://github.com/henrylee2cn/pholcus/blob/bf4a87b9aa74fefaec49f991d3ac213a43a313d1/gui/logview.go#L22
victorcoder--dkron:dkron++Run12.pml,0,0,https://github.com/victorcoder/dkron/blob/b404ce7401f6d8a2fb45320432a29e618bea6565/dkron/run.go#L12
elastic--beats:cfgfile++Stop121.pml,0,0,https://github.com/elastic/beats/blob/1327562b17cf06c430a2ad668ba22a3f836606a4/libbeat/cfgfile/list.go#L121
elastic--beats:outputs++WithBackoff38.pml,0,0,https://github.com/elastic/beats/blob/1327562b17cf06c430a2ad668ba22a3f836606a4/libbeat/outputs/backoff.go#L38
pingcap--tidb:domain++fetchAllSchemasWithTables169.pml,0,0,https://github.com/pingcap/tidb/blob/8ddd41c960caaebbdeb28da33c781fca1464f05f/domain/domain.go#L169
juju--juju:oci++terminateInstances695.pml,0,0,https://github.com/juju/juju/blob/af21dceaf489e65417c11a49921a03bf188480cd/provider/oci/environ.go#L695
ncw--rclone:policy++newestEntries55.pml,0,0,https://github.com/ncw/rclone/blob/80e63af4703730923a97b65fae4d5b712de846c9/backend/union/policy/newest.go#L55
golang--tools:packages++parseFiles1046.pml,0,0,https://github.com/golang/tools/blob/e0d201561e39aeaab8136532f2bbe17ae1ef24ff/go/packages/packages.go#L1046
coreos--torus:distributor++readSpread116.pml,0,1,https://github.com/coreos/torus/blob/b53b701fc3af89fdf5f2999ebbc3b778e8c18ccc/distributor/storage.go#L116
cihub--seelog:seelog++getOpenFilesByDirectoryAsync232.pml,0,0,https://github.com/cihub/seelog/blob/f561c5e57575bb1e0a2167028b7339b3a8d16fb4/internals_fsutils.go#L232
keybase--client:data++getBlocksForOffsetRange494.pml,0,1,https://github.com/keybase/client/blob/cd76ccb97183c2be78b869fab9aed4b6f5b11086/go/kbfs/data/block_tree.go#L494
stripe--veneur:veneur++gRPCStop1450.pml,1,0,https://github.com/stripe/veneur/blob/590f2c060515bd818c0e566047256590cf41b838/server.go#L1450
RichardKnop--machinery:machinery++SendGroupWithContext227.pml,0,0.6666666666666666,https://github.com/RichardKnop/machinery/blob/47893a0e7aa31dcc73974647c0fac6d9889643a6/v2/server.go#L227
mattermost--mattermost-server:telemetry++trackActivity217.pml,0,0,https://github.com/mattermost/mattermost-server/blob/caeda90b246b2830ffc29901efce685a08d638fa/services/telemetry/telemetry.go#L217
vitessio--vitess:wrangler++selectTablets504.pml,0,0,https://github.com/vitessio/vitess/blob/d09dffef0c60d5d4841cac86bdf4ed777098b60a/go/vt/wrangler/vdiff.go#L504
jaegertracing--jaeger:pool++New25.pml,0,0.6666666666666666,https://github.com/jaegertracing/jaeger/blob/1cd272535cc11895bbacf7c3fcb7b095ef0935f3/examples/hotrod/pkg/pool/pool.go#L25
